listingId,title,winning_bid_amount,bidder_count,winning_bid_time,unit_count,price_per_unit,image_url,sku,grade,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers,clean_model
191478,"Apple Cell Phones - iPhone 13, 128GB - 70 Units - Grade B+(T) - CN0001330A","$22,000",7 bidders,"Apr 17, 2024 10:46:14 AM PDT",70.0,314.29,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13_1597.jpg,CN0001330A,Grade B+(T),IPH 13,128GB,"STL, RED, PNK, BLU, MDN, GRN","C164D, C359D, C163D, C166D, C165D, C162D",iPhone 13
190977,"Apple Cell Phones - iPhone 13 Pro, 512GB - 70 Units - Grade B+(T) - CT0059063A","$33,100",7 bidders,"Apr 11, 2024 10:21:06 AM PDT",70.0,472.86,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone13pro_1547.jpg,CT0059063A,Grade B+(T),IPH 13P,512GB,"GLD, BLU, GPH, SLV, GRN","J364D, A188D, E188D, J185D, E185D, E187D, J188D, A364D, A186D, A187D, J187D, A185D, S185D",iPhone 13 Pro
191378,Motorola Cell Phones - Moto G Stylus 5G - 50 Units - Grade A+(T) - AT034963,"$4,550",8 bidders,"Apr 16, 2024 12:05:11 PM PDT",50.0,91.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/o/motogstylus5g_351.jpg,AT034963,Grade A+(T),XT23154,,black,"U785D, J785D, D785D",Motorola
191278,"Apple Cell Phones - iPhone 12, 128GB - 275 Units - Grade B+(T) - AT034859","$68,271",5 bidders,"Apr 16, 2024 10:11:18 AM PDT",275.0,248.26,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12_3078.jpg,AT034859,Grade B+(T),IPH 12,128GB,"black, blue, purple, red, green, white","E863C, U866C, S865C, E866C, S864C, A865C, E864C, A867C, S007D, A866C, S866C, A864C, E865C, S863C, A007D, A863C",iPhone 12
191479,"Apple Cell Phones - iPhone 14, 128GB - 344 Units - Grade A+(T) - CN0001311A","$141,100",7 bidders,"Apr 17, 2024 11:58:21 AM PDT",344.0,410.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone14_520.jpg,CN0001311A,Grade A+(T),IPH 14,128GB,"BLU, PUR, MDN","C481D, C485D, C483D",iPhone 14
190978,Samsung Cell Phones - Galaxy S22 Ultra 5G - 18 Units - Grade B+(T) - CT0059285A,"$6,195",4 bidders,"Apr 11, 2024 5:30:13 AM PDT",18.0,344.17,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys22ultra5g_2_1.jpg,CT0059285A,Grade B+(T),SAM GS22U,,"BUR, BLK","A296D, A297D, A298D",Samsung Galaxy S22 Ultra
191379,Samsung Cell Phones - Galaxy S23 FE - 25 Units - Grade AA+(T) - AT035102,"$8,201",6 bidders,"Apr 16, 2024 10:52:51 AM PDT",25.0,328.04,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys23fe_42.jpg,AT035102,Grade AA+(T),SMS711U,,Gray,"S859D, J859D, D859D, A859D, E859D",Samsung Galaxy S23 Fe
191179,Samsung Cell Phones - Galaxy Z Flip4 5G - 50 Units - Grade AA+(T) - AT034979,"$25,000",5 bidders,"Apr 16, 2024 11:19:41 AM PDT",50.0,500.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxyzflip4_381.jpg,AT034979,Grade AA+(T),SMF721U,"256GB, 128GB","Purple, Graphite, Pink, Blue","E437D, J436D, A443D, A439D, J437D, A438D, S437D, S435D, J441D, A436D, A437D, A441D, S438D, E441D, S451D, A451D",Samsung Galaxy Z Flip4
191279,Motorola Cell Phones - Moto G Stylus 5G 2022 - 50 Units - Grade B+(T) - AT034956,"$2,575",5 bidders,"Apr 16, 2024 12:02:27 PM PDT",50.0,51.5,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/o/motogstylus5g_2022_133.jpg,AT034956,Grade B+(T),XT22152,,blue,"D349D, S349D, A349D, U349D",Motorola
191480,"Apple Cell Phones - iPhone 12 Pro, 256GB - 75 Units - Grade B+(T) - CN0001329A","$22,560",9 bidders,"Apr 17, 2024 11:46:18 AM PDT",75.0,300.8,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone12pro_2123.jpg,CN0001329A,Grade B+(T),IPH 12P,256GB,"BLU, GPH, GLD, SLV","C877C, C878C, C879C, C880C",iPhone 12 Pro
191380,"Samsung Cell Phones - Galaxy S22+, 256GB - 25 Units - Grade A+(T) - AT035035","$10,700",4 bidders,"Apr 16, 2024 11:32:43 AM PDT",25.0,428.0,https://bstock.com/mobilecarrier/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys22plus_423.jpg,AT035035,Grade A+(T),SMS906U,256GB,"black, Pink, White, Green, green, pink","E294D, E289D, A288D, J294D, A289D, A294D, A293D, J288D",Samsung Galaxy S22
