listing_id,title,sku,grade,units,model,end_time,image_url,manifest_models,manifest_capacities,manifest_colors,manifest_part_numbers
232044,Apple Cell Phones - iPhone 11 - 36 Units - Grade A+(T) - CT0079904A,CT0079904A,A+(T),36,iPhone 11,2025-06-19T18:28:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4961.jpg,IPH 11,"128GB, 256GB, 64GB","RED, YEL, GRN, PUR, BLK, WHT","J153C, J145C, J154C, J826C, J167C, J126C, J136C, J161C, J138C, J830C, J833C, J134C, S832C, S134C, J152C, S831C, S150C"
231998,Apple Cell Phones - iPhone 11 - 25 Units - Grade B+(T) - CT0079961A,CT0079961A,B+(T),25,iPhone 11,2025-06-19T18:29:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone11_4960.jpg,IPH 11,"128GB, 256GB, 64GB","RED, GRN, PUR, BLK, WHT","J153C, J145C, J154C, J167C, J136C, S152C, J138C, J830C, J156C, J832C, J091D, J152C, J140C"
231879,Apple Cell Phones - iPhone XS Max - 70 Units - Grade C(T) - CT0079857A,CT0079857A,C(T),70,iPhone XS Max,2025-06-19T18:30:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4411.jpg,IPH XSM,"512GB, 256GB, 64GB","SLV, SGY, GLD","J574B, J576B, J580B, J586B, J573B, S580B, J571B, S574B, J575B"
231785,Apple Cell Phones - iPhone XS Max - 17 Units - Grade B+(T) - CT0079996A,CT0079996A,B+(T),17,iPhone XS Max,2025-06-19T18:31:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexsmax_4410.jpg,IPH XSM,"512GB, 256GB, 64GB","SLV, SGY, GLD","J574B, J576B, J586B, J580B, J573B, J575B, J582B"
231745,Apple Cell Phones - iPhone XS - 25 Units - Grade C(T) - CT0079942A,CT0079942A,C(T),25,iPhone XS,2025-06-19T18:32:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3152.jpg,IPH XS,"512GB, 256GB, 64GB","SLV, SGY, GLD","J560B, J566B, J563B, J565B, J564B, S560B, J569B, J562B"
231991,Apple Cell Phones - iPhone XS - 25 Units - Grade B+(T) - CT0079941A,CT0079941A,B+(T),25,iPhone XS,2025-06-19T18:33:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexs_3153.jpg,IPH XS,"512GB, 256GB, 64GB","SLV, SGY, GLD","J560B, J566B, J563B, J565B, J561B, J564B, S560B, J562B"
231878,Apple Cell Phones - iPhone XR - 65 Units - Grade C(T) - CT0079863A,CT0079863A,C(T),65,iPhone XR,2025-06-19T18:34:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexr_4534.jpg,IPH XR,"128GB, 256GB, 64GB","COR, RED, YEL, BLK, WHT, BLU","J592B, J850C, J598B, J590B, J599B, S602B, S596B, J844C, J595B, J596B, J605B, J589B, J602B, J603B, J601B, J600B"
231932,Apple Cell Phones - iPhone XR - 16 Units - Grade B(T) - CT0080002A,CT0080002A,B(T),16,iPhone XR,2025-06-19T18:35:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonexr_4535.jpg,IPH XR,"128GB, 64GB","RED, YEL, BLK, WHT, BLU","A589B, J592B, J593B, J590B, J599B, J844C, J598B, J596B, J589B, J600B"
231951,Apple Cell Phones - iPhone X - 51 Units - Grade C(T) - CT0079878A,CT0079878A,C(T),51,iPhone X,2025-06-19T18:36:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4671.jpg,IPH X,"256GB, 64GB","SLV, SGY","J173B, S172B, J172B, J253B, J175B, J174B, J256B"
231905,"Apple Cell Phones - iPhone X, 64GB - 1 Unit - Grade B+(T) - CT0080071A",CT0080071A,B+(T),1,iPhone X,2025-06-19T18:37:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphonex_4670.jpg,IPH X,64GB,SGY,J172B
231748,Apple Cell Phones - iPhone 8 Plus - 51 Units - Grade C(T) - CT0079877A,CT0079877A,C(T),51,iPhone 8 Plus,2025-06-19T18:38:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8plus_4148.jpg,IPH 8P,"128GB, 256GB, 64GB","RED, SLV, SGY, GLD","J501B, J502B, J167B, J171B, J170B, J166B, J109C, J169B, J168B"
231986,Apple Cell Phones - iPhone 8 - 25 Units - Grade C(T) - CT0079944A,CT0079944A,C(T),25,iPhone 8,2025-06-19T18:39:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8_3839.jpg,IPH 8,"128GB, 256GB, 64GB","RED, SLV, SGY, GLD","J164B, J503B, J161B, J163B, J162B, J111C, J160B, J165B"
231776,Apple Cell Phones - iPhone 7 Plus - 32 Units - Grade C(T) - CT0079916A,CT0079916A,C(T),32,iPhone 7 Plus,2025-06-19T18:40:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone8_3837.jpg,"IPH 7P, IPHONE 7P","32GB, 128GB, 256GB","SLV, RED, RGD, BLK, GLD, JBK","J496A, J494A, J493A, J490A, J497A, J491A, S503A, J488A, J489A, J950A, J517A, J945A"
232020,Samsung Cell Phones - Galaxy S25 Ultra 5G - 85 Units - Grade C(T) - CT0079849A,CT0079849A,C(T),85,,2025-06-19T18:41:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys25ultra5g_50.jpg,SAM GS25U,,"GRY, SLV, BLK, BLU","J846E, U848E, A845E, J844E, U850E, S850E, A846E, S849E, E843E, J849E, J848E, A849E, E846E, U843E, A847E, A848E, J847E, E847E, S847E, A843E, J843E, U847E, J850E, J845E, U846E"
231891,Samsung Cell Phones - Galaxy S25 Ultra 5G - 33 Units - Grade B(T) - CT0079911A,CT0079911A,B(T),33,,2025-06-19T18:42:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys25ultra5g_49.jpg,SAM GS25U,,"GRY, SLV, BLK, BLU","U847E, J849E, A843E, J843E, U848E, U844E, A850E, U843E, U845E, U846E, A844E"
231791,Samsung Cell Phones - Galaxy S25 Ultra 5G - 25 Units - Grade B+(T) - CT0079956A,CT0079956A,B+(T),25,,2025-06-19T18:43:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys25ultra5g_48.jpg,SAM GS25U,,"GRY, SLV, BLK, BLU","U847E, S845E, U848E, U844E, A845E, U843E, U845E, S843E, U846E, J843E"
232046,Samsung Cell Phones - Galaxy S25 Ultra 5G - 25 Units - Grade A+(T) - CT0079952A,CT0079952A,A+(T),25,,2025-06-19T18:44:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys25ultra5g_51.jpg,SAM GS25U,,"GRY, SLV, BLK, BLU","A843E, J846E, A849E, U848E, A845E, A844E, E846E, U843E, U850E, A846E, U846E, J843E"
232021,Samsung Cell Phones - Galaxy S25+ 5G - 17 Units - Grade B+(T) - CT0079998A,CT0079998A,B+(T),17,,2025-06-19T18:45:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys25plus_30.jpg,SAM GS25P,,"NVY, MNT, SLV, BLU","U839E, U835E, J837E, U841E, U840E, U837E"
231869,Samsung Cell Phones - Galaxy S24 Ultra - 63 Units - Grade C(T) - CT0079815A,CT0079815A,C(T),63,,2025-06-19T18:46:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24ultra_298.jpg,SAM GS24U,,"GRY, YEL, BLK, VIO","J067E, A067E, E073E, J073E, S073E, J071E, S067E, J069E, A071E, A073E, A069E, S069E"
231911,Samsung Cell Phones - Galaxy S24 Ultra - 47 Units - Grade B+(T) - CT0079891A,CT0079891A,B+(T),47,,2025-06-19T18:47:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24ultra_298.jpg,SAM GS24U,,"BLK, VIO","U066E, A066E, A070E"
231839,Samsung Cell Phones - Galaxy S24 Ultra - 31 Units - Grade A+(T) - CT0079923A,CT0079923A,A+(T),31,,2025-06-19T18:48:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24ultra_298.jpg,SAM GS24U,,"GRY, BLK, VIO","S066E, J067E, A067E, A066E, S067E, A070E, A071E, U066E, J070E, S070E, A068E, J066E"
231852,Samsung Cell Phones - Galaxy S24 Ultra - 27 Units - Grade B(T) - CT0079932A,CT0079932A,B(T),27,,2025-06-19T18:49:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24ultra_298.jpg,SAM GS24U,,"GRY, BLK, VIO","J067E, A066E, A070E, A071E, U066E, J070E, A068E, J066E"
231832,Samsung Cell Phones - Galaxy S24+ - 44 Units - Grade C(T) - CT0079892A,CT0079892A,C(T),44,,2025-06-19T18:50:00.000Z,https://bstock.com/mobilecarrier/media/catalog/product/cache/0/image/210x/9df78eab33525d08d6e5fb8d27136e95/g/a/galaxys24plus_190.jpg,SAM GS24P,,"GRY, YEL, BLK, VIO","A063E, S059E, A059E, J065E, A065E, E065E, A050E, S061E, J050E, A060E, J061E, J059E, A061E, S065E"
